Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker,MA_50,RSI
244.44000244140625,245.0050048828125,243.91000366210938,244.44000244140625,3216505,0.0,0.0,AAPL,244.50635804882816,54.14743383600003
244.47,244.47,244.11,244.34,7113046,0.0,0.0,AAPL,243.58654731445313,76.97612185776707
408.19500732421875,408.67999267578125,407.95001220703125,408.6300048828125,1009543,0.0,0.0,MSFT,409.53896809765627,34.55424189788677
409.64,409.65,409.21,409.64,4501422,0.0,0.0,MSFT,407.9640298583985,96.65376926681175
185.55999755859375,185.9600067138672,185.22999572753906,185.5789031982422,1456869,0.0,0.0,GOOGL,186.66296006396485,15.791909622837693
183.8000030517578,183.8000030517578,183.52999877929688,183.77000427246094,1073886,0.0,0.0,GOOGL,183.06754516601563,78.73579346148449
183.76,183.77,183.42,183.77,3259644,0.0,0.0,GOOGL,183.09124503173825,82.52986679622208
228.67999267578125,229.02999877929688,228.3000030517578,228.87989807128906,1539785,0.0,0.0,AMZN,229.62280396142577,28.039280231571283
226.67,226.67,226.41,226.4899,5214677,0.0,0.0,AMZN,224.8427456928711,90.94400915859268
355.2799987792969,355.55999755859375,353.70001220703125,353.739990234375,4891843,0.0,0.0,TSLA,358.9041338046875,2.721083916141481
354.05,354.11,353.2,353.64,1880285,0.0,0.0,TSLA,353.2903128173828,60.06858854768937
