Open,High,Low,Close,Volume,Dividends,Stock Splits,Ticker
244.87,244.87,244.87,244.87,0,0.0,0.0,AAPL
244.9,244.94,244.9,244.94,0,0.0,0.0,AAPL
244.94,244.95,244.9,244.95,0,0.0,0.0,AAPL
244.95,244.95,244.92,244.92,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.93,244.93,0,0.0,0.0,AAPL
244.96,244.96,244.96,244.96,0,0.0,0.0,AAPL
244.98,244.98,244.96,244.96,0,0.0,0.0,AAPL
244.98,244.98,244.96,244.96,0,0.0,0.0,AAPL
245.0,245.09,244.99,245.09,0,0.0,0.0,AAPL
245.09,245.11,245.09,245.11,0,0.0,0.0,AAPL
245.1,245.17,245.1,245.17,0,0.0,0.0,AAPL
245.16,245.16,245.16,245.16,0,0.0,0.0,AAPL
245.12,245.12,245.12,245.12,0,0.0,0.0,AAPL
245.15,245.15,245.15,245.15,0,0.0,0.0,AAPL
245.17,245.2,245.15,245.2,0,0.0,0.0,AAPL
245.19,245.19,245.19,245.19,0,0.0,0.0,AAPL
245.18,245.18,245.16,245.16,0,0.0,0.0,AAPL
245.2,245.2,245.19,245.2,0,0.0,0.0,AAPL
245.19,245.19,245.19,245.19,0,0.0,0.0,AAPL
245.15,245.15,245.0,245.0,0,0.0,0.0,AAPL
245.0,245.0,245.0,245.0,0,0.0,0.0,AAPL
245.0,245.0,245.0,245.0,0,0.0,0.0,AAPL
244.97,244.97,244.97,244.97,0,0.0,0.0,AAPL
244.99,244.99,244.99,244.99,0,0.0,0.0,AAPL
245.0,245.0,245.0,245.0,0,0.0,0.0,AAPL
244.96,244.96,244.96,244.96,0,0.0,0.0,AAPL
244.99,244.99,244.96,244.96,0,0.0,0.0,AAPL
244.96,244.96,244.96,244.96,0,0.0,0.0,AAPL
244.96,244.96,244.96,244.96,0,0.0,0.0,AAPL
244.94,244.94,244.94,244.94,0,0.0,0.0,AAPL
244.96,244.96,244.94,244.94,0,0.0,0.0,AAPL
244.93,244.99,244.93,244.94,0,0.0,0.0,AAPL
244.96,244.96,244.93,244.93,0,0.0,0.0,AAPL
244.93,244.93,244.9,244.92,0,0.0,0.0,AAPL
244.95,244.95,244.9,244.9,0,0.0,0.0,AAPL
244.9,244.93,244.9,244.93,0,0.0,0.0,AAPL
244.9,244.9,244.9,244.9,0,0.0,0.0,AAPL
244.9,244.9,244.88,244.88,0,0.0,0.0,AAPL
244.88,244.88,244.85,244.85,0,0.0,0.0,AAPL
244.87,244.87,244.85,244.85,0,0.0,0.0,AAPL
244.84,244.84,244.84,244.84,0,0.0,0.0,AAPL
244.85,244.85,244.81,244.81,0,0.0,0.0,AAPL
244.8,244.81,244.77,244.77,0,0.0,0.0,AAPL
244.79,244.79,244.79,244.79,0,0.0,0.0,AAPL
244.72,244.72,244.72,244.72,0,0.0,0.0,AAPL
244.72,244.72,244.65,244.65,0,0.0,0.0,AAPL
244.64,244.64,244.64,244.64,0,0.0,0.0,AAPL
244.65,244.71,244.65,244.71,0,0.0,0.0,AAPL
244.69,244.71,244.68,244.68,0,0.0,0.0,AAPL
244.64,244.85,244.64,244.85,0,0.0,0.0,AAPL
